size,type,time,cpu,iterations
8,0,213,212,3276
8,0,215,215,3276
8,0,213,212,3276
8,0,213,213,3276
8,0,214,214,3276
8,0,212,212,3276
8,0,212,212,3276
8,0,213,212,3276
8,0,213,213,3276
8,0,213,213,3276 
8,0,214,214,3276 
8,0,214,214,3276
8,0,214,213,3276
8,0,214,214,3276
8,0,211,211,3276
8,0,211,211,3276
8,0,212,212,3276
8,0,214,214,3276
8,0,214,214,3276
8,0,214,214,3276
16,0,271,271,2621
16,0,271,271,2621
16,0,273,273,2621
16,0,273,273,2621
16,0,275,275,2621
16,0,275,275,2621
16,0,284,284,2621
16,0,276,276,2621
16,0,277,277,2621
16,0,277,277,2621
16,0,275,274,2621
16,0,276,275,2621
16,0,277,277,2621
16,0,279,279,2621
16,0,274,274,2621
16,0,275,275,2621
16,0,274,274,2621
16,0,273,273,2621
16,0,273,273,2621
16,0,274,274,2621
32,0,389,389,1790
32,0,385,384,1790
32,0,392,391,1790
32,0,389,389,1790
32,0,393,392,1790
32,0,391,390,1790
32,0,390,390,1790
32,0,387,387,1790
32,0,383,383,1790
32,0,389,388,1790
32,0,385,384,1790
32,0,386,386,1790
32,0,389,388,1790
32,0,378,377,1790
32,0,374,374,1790
32,0,373,372,1790
32,0,378,378,1790
32,0,399,399,1790
32,0,431,430,1790
32,0,406,406,1790
64,0,739,738,1064
64,0,669,669,1064
64,0,633,633,1064
64,0,642,641,1064
64,0,689,688,1064
64,0,660,660,1064
64,0,643,642,1064
64,0,611,611,1064
64,0,598,598,1064
64,0,609,609,1064
64,0,593,593,1064
64,0,638,619,1064
64,0,599,599,1064
64,0,614,614,1064
64,0,602,601,1064
64,0,624,624,1064
64,0,597,596,1064
64,0,607,606,1064
64,0,607,607,1064
64,0,597,597,1064
128,0,1037,1037,687
128,0,1039,1039,687
128,0,1047,1046,687
128,0,1036,1036,687
128,0,1037,1037,687
128,0,1028,1028,687
128,0,1031,1031,687
128,0,1041,1041,687
128,0,1033,1033,687
128,0,1035,1035,687
128,0,1032,1031,687
128,0,1054,1054,687
128,0,1038,1038,687
128,0,1118,1113,687
128,0,1084,1083,687
128,0,1058,1057,687
128,0,1066,1066,687
128,0,1129,1128,687
128,0,1138,1137,687
128,0,1113,1113,687
256,0,2113,2112,319
256,0,2148,2148,319
256,0,2257,2254,319
256,0,2283,2283,319
256,0,2165,2164,319
256,0,2271,2271,319
256,0,2521,2519,319
256,0,2109,2108,319
256,0,1946,1945,319
256,0,2107,2107,319
256,0,1922,1922,319
256,0,1985,1984,319
256,0,2607,2606,319
256,0,2942,2940,319
256,0,2372,2371,319
256,0,2174,2173,319
256,0,2114,2113,319
256,0,2036,2035,319
256,0,1945,1945,319
256,0,1908,1908,319
512,0,3682,3682,191
512,0,3756,3756,191
512,0,3698,3698,191
512,0,3656,3656,191
512,0,3669,3668,191
512,0,5026,5025,191
512,0,4242,4241,191
512,0,4627,4627,191
512,0,4490,4479,191
512,0,4159,4156,191
512,0,4431,4431,191
512,0,3956,3955,191
512,0,3823,3821,191
512,0,3861,3859,191
512,0,3745,3743,191
512,0,3671,3669,191
512,0,3971,3970,191
512,0,3758,3757,191
512,0,3709,3707,191
512,0,4085,4083,191
1024,0,7491,7490,93
1024,0,7500,7499,93
1024,0,8439,8438,93
1024,0,7669,7668,93
1024,0,7652,7651,93
1024,0,8043,8041,93
1024,0,7519,7519,93
1024,0,7721,7720,93
1024,0,7598,7597,93
1024,0,7421,7421,93
1024,0,7350,7350,93
1024,0,7666,7665,93
1024,0,7884,7883,93
1024,0,7686,7685,93
1024,0,7500,7499,93
1024,0,7616,7615,93
1024,0,7757,7756,93
1024,0,8206,8205,93
1024,0,7472,7472,93
1024,0,7447,7446,93
1536,0,11853,11852,55
1536,0,11478,11478,55
1536,0,11633,11632,55
1536,0,11774,11773,55
1536,0,11515,11515,55
1536,0,11540,11539,55
1536,0,11515,11514,55
1536,0,11755,11755,55
1536,0,11592,11591,55
1536,0,11496,11495,55
1536,0,11359,11358,55
1536,0,11676,11675,55
1536,0,12188,12187,55
1536,0,14448,14447,55
1536,0,14711,14710,55
1536,0,14271,14271,55
1536,0,14259,14258,55
1536,0,11529,11528,55
1536,0,11344,11343,55
1536,0,11872,11872,55
2048,0,16643,16642,40
2048,0,16188,16187,40
2048,0,15898,15897,40
2048,0,16645,16644,40
2048,0,16322,16321,40
2048,0,16242,16242,40
2048,0,16250,16249,40
2048,0,16183,16182,40
2048,0,16010,16009,40
2048,0,16243,16242,40
2048,0,17797,17796,40
2048,0,16631,16630,40
2048,0,16931,16930,40
2048,0,16339,16339,40
2048,0,16046,16045,40
2048,0,17290,17290,40
2048,0,16024,16024,40
2048,0,16326,16325,40
2048,0,15950,15949,40
2048,0,16331,16330,40
8,1,497,497,1412
8,1,495,495,1412
8,1,490,489,1412
8,1,492,492,1412
8,1,495,495,1412
8,1,496,496,1412
8,1,502,502,1412
8,1,502,502,1412
8,1,510,509,1412
8,1,504,504,1412
8,1,500,500,1412
8,1,496,496,1412
8,1,498,498,1412
8,1,495,495,1412
8,1,499,499,1412
8,1,496,496,1412
8,1,497,497,1412
8,1,495,495,1412
8,1,498,498,1412
8,1,501,501,1412
16,1,879,879,776
16,1,870,869,776
16,1,869,869,776
16,1,878,878,776
16,1,857,857,776
16,1,869,869,776
16,1,872,872,776
16,1,922,922,776
16,1,881,881,776
16,1,894,893,776
16,1,922,922,776
16,1,924,924,776
16,1,1018,1017,776
16,1,926,926,776
16,1,933,933,776
16,1,914,914,776
16,1,894,893,776
16,1,875,875,776
16,1,876,875,776
16,1,868,868,776
32,1,1854,1854,390
32,1,1793,1793,390
32,1,1806,1806,390
32,1,1790,1790,390
32,1,1792,1792,390
32,1,1805,1805,390
32,1,1791,1790,390
32,1,1811,1811,390
32,1,1818,1818,390
32,1,1810,1810,390
32,1,1801,1801,390
32,1,1817,1817,390
32,1,1807,1807,390
32,1,1813,1813,390
32,1,1824,1824,390
32,1,1975,1974,390
32,1,1952,1952,390
32,1,1854,1854,390
32,1,1800,1800,390
32,1,1805,1805,390
64,1,4289,4289,159
64,1,4291,4291,159
64,1,4304,4303,159
64,1,4284,4284,159
64,1,4247,4247,159
64,1,4243,4243,159
64,1,4238,4238,159
64,1,4270,4270,159
64,1,4282,4282,159
64,1,4275,4275,159
64,1,4251,4250,159
64,1,4296,4296,159
64,1,4263,4263,159
64,1,4285,4285,159
64,1,4263,4263,159
64,1,4243,4243,159
64,1,4335,4335,159
64,1,4254,4254,159
64,1,4275,4275,159
64,1,4250,4250,159
128,1,12075,12075,60
128,1,11987,11987,60
128,1,11946,11946,60
128,1,12385,12380,60
128,1,12766,12765,60
128,1,11808,11808,60
128,1,12076,12076,60
128,1,11935,11934,60
128,1,11968,11967,60
128,1,11940,11939,60
128,1,11979,11979,60
128,1,11894,11894,60
128,1,11922,11922,60
128,1,11930,11930,60
128,1,11897,11897,60
128,1,12192,12191,60
128,1,12002,12002,60
128,1,12010,12010,60
128,1,11925,11925,60
128,1,12729,12729,60
256,1,39293,39292,18
256,1,39262,39261,18
256,1,39083,39082,18
256,1,41912,41911,18
256,1,42066,42065,18
256,1,39484,39483,18
256,1,40235,40234,18
256,1,40956,40955,18
256,1,40270,40269,18
256,1,40265,40264,18
256,1,40022,40022,18
256,1,39527,39527,18
256,1,39898,39896,18
256,1,39730,39729,18
256,1,40674,40673,18
256,1,40520,40519,18
