size,type,time,cpu,iterations
8,0,75,75,9852
8,0,75,75,9852
8,0,73,73,9852
8,0,74,74,9852
8,0,74,74,9852
8,0,76,76,9852
8,0,73,73,9852
8,0,74,74,9852
8,0,72,72,9852
8,0,75,75,9852
8,0,76,76,9852
8,0,77,77,9852
8,0,78,78,9852
8,0,76,76,9852
8,0,75,75,9852
8,0,74,74,9852
8,0,74,74,9852
8,0,76,76,9852
8,0,75,75,9852
8,0,73,73,9852
8,0,77,77,9852
16,0,99,99,7077
16,0,98,98,7077
16,0,99,98,7077
16,0,96,96,7077
16,0,95,95,7077
16,0,95,95,7077
16,0,96,96,7077
16,0,100,100,7077
16,0,95,95,7077
16,0,96,96,7077
16,0,98,98,7077
16,0,99,99,7077
16,0,98,97,7077
16,0,100,99,7077
16,0,97,97,7077
16,0,97,97,7077
16,0,98,97,7077
16,0,95,95,7077
16,0,95,95,7077
16,0,95,95,7077
32,0,144,144,4805
32,0,139,139,4805
32,0,139,139,4805
32,0,138,138,4805
32,0,141,141,4805
32,0,143,143,4805
32,0,142,142,4805
32,0,147,147,4805
32,0,156,156,4805
32,0,146,146,4805
32,0,144,144,4805
32,0,143,143,4805
32,0,141,141,4805
32,0,151,151,4805
32,0,149,149,4805
32,0,143,143,4805
32,0,143,143,4805
32,0,140,140,4805
32,0,149,149,4805
32,0,141,141,4805
64,0,238,238,3081
64,0,236,236,3081
64,0,233,233,3081
64,0,239,239,3081
64,0,243,242,3081
64,0,244,243,3081
64,0,229,229,3081
64,0,240,240,3081
64,0,236,236,3081
64,0,244,244,3081
64,0,258,258,3081
64,0,256,255,3081
64,0,250,250,3081
64,0,249,249,3081
64,0,241,241,3081
64,0,243,243,3081
64,0,244,243,3081
64,0,237,237,3081
64,0,266,266,3081
64,0,249,249,3081
128,0,458,458,1540
128,0,450,450,1540
128,0,431,431,1540
128,0,431,431,1540
128,0,422,422,1540
128,0,437,437,1540
128,0,434,433,1540
128,0,449,449,1540
128,0,420,420,1540
128,0,436,435,1540
128,0,413,412,1540
128,0,420,420,1540
128,0,418,418,1540
128,0,421,421,1540
128,0,414,414,1540
128,0,423,422,1540
128,0,425,425,1540
128,0,415,415,1540
128,0,412,412,1540
128,0,419,419,1540
256,0,797,796,918
256,0,822,821,918
256,0,841,841,918
256,0,794,793,918
256,0,762,761,918
256,0,787,787,918
256,0,787,786,918
256,0,788,787,918
256,0,780,780,918
256,0,786,786,918
256,0,760,760,918
256,0,763,763,918
256,0,752,751,918
256,0,760,760,918
256,0,777,777,918
256,0,789,789,918
256,0,794,794,918
256,0,781,781,918
256,0,814,814,918
256,0,824,824,918
512,0,1687,1686,396
512,0,1623,1623,396
512,0,1663,1662,396
512,0,1616,1615,396
512,0,1720,1719,396
512,0,1679,1678,396
512,0,1569,1569,396
512,0,1614,1613,396
